Day,Date,Time,Flag
Monday,15-Jan-00,8:07:30 PM,
Wednesday,14-Feb-00,2:50:12 PM,
Friday,16-Mar-00,9:11:48 AM,
Sunday,15-Apr-00,2:02:06 AM,
Monday,14-May-00,4:36:36 PM,
Wednesday,13-Jun-00,4:38:36 AM,[/]
Thursday,12-Jul-00,2:21:54 PM,
Friday,10-Aug-00,10:29:54 PM,
Sunday,9-Sep-00,6:06:06 AM,
Monday,8-Oct-00,2:18:06 PM,
Tuesday,6-Nov-00,11:59:36 PM,
Thursday,6-Dec-00,11:38:06 AM,[/]
Saturday,5-Jan-01,1:13:24 AM,
Sunday,3-Feb-01,4:29:42 PM,
Tuesday,5-Mar-01,9:04:06 AM,
Thursday,4-Apr-01,2:20:06 AM,
Friday,3-May-01,7:18:42 PM,[/]
Sunday,2-Jun-01,10:52:42 AM,
Tuesday,2-Jul-01,12:17:36 AM,
Wednesday,31-Jul-01,11:33:42 AM,[+]
Thursday,29-Aug-01,9:20:48 PM,
Saturday,28-Sep-01,6:35:42 AM,
Sunday,27-Oct-01,4:06:12 PM,[*]
Tuesday,26-Nov-01,2:17:30 AM,
Wednesday,25-Dec-01,1:15:48 PM,
Friday,24-Jan-02,1:06:06 AM,
Saturday,22-Feb-02,2:03:18 PM,
Monday,24-Mar-02,4:21:12 AM,
Tuesday,22-Apr-02,7:49:30 PM,[**]
Thursday,22-May-02,11:46:00 AM,
Saturday,21-Jun-02,3:16:42 AM,
Sunday,20-Jul-02,5:45:00 PM,
Tuesday,19-Aug-02,7:03:18 AM,
Wednesday,17-Sep-02,7:23:24 PM,
Friday,17-Oct-02,7:01:06 AM,[**]
Saturday,15-Nov-02,6:06:24 PM,
Monday,15-Dec-02,4:47:24 AM,
Tuesday,13-Jan-03,3:17:12 PM,
Thursday,12-Feb-03,1:57:42 AM,
Friday,13-Mar-03,1:12:48 PM,
Sunday,12-Apr-03,1:18:18 AM,[*]
Monday,11-May-03,2:17:54 PM,
Wednesday,10-Jun-03,4:07:54 AM,
Thursday,9-Jul-03,6:43:06 PM,
Saturday,8-Aug-03,9:54:12 AM,
Monday,7-Sep-03,1:19:48 AM,
Tuesday,6-Oct-03,4:23:30 PM,[*]
Thursday,5-Nov-03,6:27:24 AM,
Friday,4-Dec-03,7:12:42 PM,
Sunday,3-Jan-04,6:47:18 AM,
Monday,1-Feb-04,5:33:00 PM,
Wednesday,2-Mar-04,3:48:12 AM,[/]
Thursday,31-Mar-04,1:44:18 PM,[/][+]
Friday,29-Apr-04,11:36:12 PM,
Sunday,29-May-04,9:54:36 AM,
Monday,27-Jun-04,9:23:06 PM,
Wednesday,27-Jul-04,10:41:48 AM,
Friday,26-Aug-04,2:02:00 AM,
Saturday,24-Sep-04,6:49:42 PM,[/]
Monday,24-Oct-04,11:55:54 AM,
Wednesday,23-Nov-04,4:12:06 AM,
Thursday,22-Dec-04,7:00:54 PM,
Saturday,21-Jan-05,8:14:00 AM,
Sunday,19-Feb-05,7:51:48 PM,[*]
Tuesday,21-Mar-05,5:55:24 AM,
Wednesday,19-Apr-05,2:37:48 PM,
Thursday,18-May-05,10:36:12 PM,
Saturday,17-Jun-05,6:51:18 AM,
Sunday,16-Jul-05,4:31:30 PM,
Tuesday,15-Aug-05,4:31:18 AM,[*]
Wednesday,13-Sep-05,7:09:54 PM,
Friday,13-Oct-05,12:02:30 PM,
Sunday,12-Nov-05,6:11:12 AM,
Tuesday,12-Dec-05,12:25:18 AM,
Wednesday,10-Jan-06,5:36:18 PM,
Friday,9-Feb-06,8:45:30 AM,[**]
Saturday,10-Mar-06,9:17:06 PM,
Monday,9-Apr-06,7:12:12 AM,
Tuesday,8-May-06,3:09:30 PM,
Wednesday,6-Jun-06,10:11:30 PM,
Friday,6-Jul-06,5:27:24 AM,
Saturday,4-Aug-06,1:59:36 PM,[**]
Monday,3-Sep-06,12:36:18 AM,
Tuesday,2-Oct-06,1:48:24 PM,
Thursday,1-Nov-06,5:45:48 AM,
Saturday,1-Dec-06,12:07:00 AM,
Sunday,30-Dec-06,7:43:42 PM,
Tuesday,29-Jan-07,2:45:00 PM,[*]
Thursday,28-Feb-07,7:22:42 AM,
Friday,29-Mar-07,8:44:18 PM,
Sunday,28-Apr-07,7:04:36 AM,
Monday,27-May-07,3:17:42 PM,
Tuesday,25-Jun-07,10:26:54 PM,
Thursday,25-Jul-07,5:29:18 AM,[*]
Friday,23-Aug-07,1:15:00 PM,
Saturday,21-Sep-07,10:33:36 PM,
Monday,21-Oct-07,10:16:30 AM,
Wednesday,20-Nov-07,1:04:12 AM,
Thursday,19-Dec-07,6:54:54 PM,
Saturday,18-Jan-08,2:36:42 PM,[/]
Monday,17-Feb-08,10:05:12 AM,
Wednesday,18-Mar-08,3:28:18 AM,
Thursday,16-Apr-08,5:55:06 PM,
Saturday,16-May-08,5:32:12 AM,
Sunday,14-Jun-08,2:55:06 PM,[/]
Monday,13-Jul-08,10:47:42 PM,[/]
Wednesday,12-Aug-08,5:58:42 AM,
Thursday,10-Sep-08,1:23:12 PM,
Friday,9-Oct-08,10:03:12 PM,
Sunday,8-Nov-08,8:57:54 AM,
Monday,7-Dec-08,10:43:54 PM,[/]
Wednesday,6-Jan-09,3:12:30 PM,
Friday,5-Feb-09,9:24:30 AM,
Sunday,7-Mar-09,3:55:30 AM,
Monday,5-Apr-09,9:28:06 PM,
Wednesday,5-May-09,1:07:30 PM,
Friday,4-Jun-09,2:24:30 AM,[**]
Saturday,3-Jul-09,1:17:06 PM,
Sunday,1-Aug-09,10:13:42 PM,
Tuesday,31-Aug-09,6:07:42 AM,[+]
Wednesday,29-Sep-09,2:05:12 PM,
Thursday,28-Oct-09,11:06:54 PM,
Saturday,27-Nov-09,9:51:42 AM,[**]
Sunday,26-Dec-09,10:29:42 PM,
Tuesday,25-Jan-10,12:50:24 PM,
Thursday,24-Feb-10,4:35:30 AM,
Friday,25-Mar-10,9:20:30 PM,
Sunday,24-Apr-10,2:22:24 PM,
Tuesday,24-May-10,6:38:48 AM,[**]
Wednesday,22-Jun-10,9:11:36 PM,
Friday,22-Jul-10,9:36:42 AM,
Saturday,20-Aug-10,8:13:48 PM,
Monday,19-Sep-10,5:52:12 AM,
Tuesday,18-Oct-10,3:24:18 PM,
Thursday,17-Nov-10,1:24:54 AM,[**]
Friday,16-Dec-10,12:04:54 PM,
Saturday,14-Jan-11,11:25:48 PM,
Monday,13-Feb-11,11:37:12 AM,
Wednesday,15-Mar-11,12:58:06 AM,
Thursday,13-Apr-11,3:36:12 PM,
Saturday,13-May-11,7:09:30 AM,[/]
Sunday,11-Jun-11,10:50:30 PM,
Tuesday,11-Jul-11,1:53:06 PM,
Thursday,10-Aug-11,3:54:30 AM,
Friday,8-Sep-11,4:56:18 PM,
Sunday,8-Oct-11,5:11:00 AM,
Monday,6-Nov-11,4:47:54 PM,[/]
Wednesday,6-Dec-11,3:51:42 AM,
Thursday,4-Jan-12,2:29:24 PM,
